seed,delta,gamma,status,safe_mode_activations,disconnect_steps,replans,path_len
13,0.5,2.0,ok,1,14,1,9
13,0.5,4.0,ok,1,12,1,4
13,1.0,0.0,ok,0,19,0,56
13,1.0,0.5,ok,1,14,1,9
13,1.0,1.0,ok,1,14,1,9
13,1.0,2.0,ok,1,14,1,9
13,1.0,4.0,ok,1,12,1,4
13,2.0,0.0,ok,1,22,1,27
13,2.0,0.5,ok,1,14,1,9
13,2.0,1.0,ok,1,14,1,9
13,2.0,2.0,ok,1,14,1,9
13,2.0,4.0,ok,1,12,1,4
14,0.0,0.0,ok,1,23,1,3
14,0.0,0.5,ok,0,7,0,54
14,0.0,1.0,ok,0,7,0,54
14,0.0,2.0,ok,0,5,0,54
14,0.0,4.0,ok,0,5,0,54
14,0.5,0.0,ok,1,23,1,3
14,0.5,0.5,ok,0,7,0,54
14,0.5,1.0,ok,0,7,0,54
14,0.5,2.0,ok,0,5,0,54
14,0.5,4.0,ok,0,5,0,54
14,1.0,0.0,ok,1,23,1,3
14,1.0,0.5,ok,0,7,0,54
14,1.0,1.0,ok,0,7,0,54
14,1.0,2.0,ok,0,5,0,54
14,1.0,4.0,ok,0,5,0,54
14,2.0,0.0,ok,1,23,1,3
14,2.0,0.5,ok,0,8,0,54
14,2.0,1.0,ok,0,7,0,54
14,2.0,2.0,ok,0,7,0,54
14,2.0,4.0,ok,0,5,0,54
15,0.0,0.0,ok,1,21,1,19
15,0.0,0.5,ok,1,14,1,15
15,0.0,1.0,ok,1,14,1,13
15,0.0,2.0,ok,1,9,1,4
15,0.0,4.0,ok,1,8,1,4
15,0.5,0.0,ok,1,21,1,19
15,0.5,0.5,ok,1,14,1,15
15,0.5,1.0,ok,1,15,1,15
15,0.5,2.0,ok,1,9,1,4
15,0.5,4.0,ok,1,9,1,4
15,1.0,0.0,ok,1,21,1,19
15,1.0,0.5,ok,1,14,1,15
15,1.0,1.0,ok,1,15,1,15
15,1.0,2.0,ok,1,13,1,3
15,1.0,4.0,ok,1,9,1,4
15,2.0,0.0,ok,1,21,1,19
15,2.0,0.5,ok,1,15,1,16
15,2.0,1.0,ok,1,14,1,15
15,2.0,2.0,ok,1,14,1,13
15,2.0,4.0,ok,1,9,1,4
16,0.0,0.0,ok,1,9,1,0
16,0.0,0.5,ok,1,7,1,0
16,0.0,1.0,ok,1,6,1,0
16,0.0,2.0,ok,1,6,1,0
16,0.0,4.0,ok,1,6,1,0
16,0.5,0.0,ok,1,9,1,0
16,0.5,0.5,ok,1,7,1,0
16,0.5,1.0,ok,1,7,1,0
16,0.5,2.0,ok,1,6,1,0
16,0.5,4.0,ok,1,6,1,0
16,1.0,0.0,ok,1,9,1,0
16,1.0,0.5,ok,1,8,1,0
16,1.0,1.0,ok,1,7,1,0
16,1.0,2.0,ok,1,6,1,0
