seed,planner,lam,gamma,status,expansions,path_len,path_risk_sum,path_conn_pen_sum
9,risk_only,2.0,0.0,ok,680,56,5.888364557433369,31.990731519898347
9,risk_plus_connectivity,2.0,0.0,ok,680,56,5.888364557433369,31.990731519898347
9,risk_plus_connectivity,2.0,0.5,ok,799,54,7.175397327729275,28.996851360677866
9,risk_plus_connectivity,2.0,1.0,ok,810,54,9.460282297210407,22.657421302837854
9,risk_plus_connectivity,2.0,2.0,ok,834,54,12.702701840121422,18.722262862757187
9,risk_plus_connectivity,2.0,4.0,ok,826,54,13.142573959480126,18.430848115337138
10,geometry_only,0.0,0.0,ok,679,54,7.930117404180632,30.84609724881858
10,risk_only,2.0,0.0,ok,439,54,1.990338155276214,31.736255017986476
10,risk_plus_connectivity,2.0,0.0,ok,439,54,1.990338155276214,31.736255017986476
10,risk_plus_connectivity,2.0,0.5,ok,774,54,3.253221037888647,24.88590836390552
10,risk_plus_connectivity,2.0,1.0,ok,870,54,4.116757662804464,22.448857878863034
10,risk_plus_connectivity,2.0,2.0,ok,882,54,8.170202637949085,17.43170736653759
10,risk_plus_connectivity,2.0,4.0,ok,913,54,10.408898456935848,16.181818013631396
11,geometry_only,0.0,0.0,ok,659,54,5.050264953839253,31.132041231780942
11,risk_only,2.0,0.0,ok,572,54,5.050264953839253,31.132041231780942
11,risk_plus_connectivity,2.0,0.0,ok,572,54,5.050264953839253,31.132041231780942
11,risk_plus_connectivity,2.0,0.5,ok,830,54,5.961513854040837,24.963216773309643
11,risk_plus_connectivity,2.0,1.0,ok,850,54,6.825858023763491,22.262206281323355
11,risk_plus_connectivity,2.0,2.0,ok,870,54,7.293822247802403,21.50650312463555
11,risk_plus_connectivity,2.0,4.0,ok,882,54,11.995125821684091,17.430272031832253
12,geometry_only,0.0,0.0,ok,671,54,5.870467232745639,30.429266095442156
12,risk_only,2.0,0.0,ok,506,54,4.414708920691186,21.056344078548875
12,risk_plus_connectivity,2.0,0.0,ok,506,54,4.414708920691186,21.056344078548875
12,risk_plus_connectivity,2.0,0.5,ok,768,54,4.657242503886304,19.24026342229817
12,risk_plus_connectivity,2.0,1.0,ok,857,54,4.680326209694755,19.17210378376198
12,risk_plus_connectivity,2.0,2.0,ok,904,54,6.317848740076147,16.957268411014848
12,risk_plus_connectivity,2.0,4.0,ok,896,54,6.883484502479324,16.49580381356612
13,geometry_only,0.0,0.0,ok,634,54,6.58137093439489,30.102160595410897
13,risk_only,2.0,0.0,ok,818,54,5.729355886308011,29.976368469517745
13,risk_plus_connectivity,2.0,0.0,ok,818,54,5.729355886308011,29.976368469517745
13,risk_plus_connectivity,2.0,0.5,ok,861,54,6.477360691100756,22.360858304572076
13,risk_plus_connectivity,2.0,1.0,ok,845,54,6.6915852559646485,21.789928706470793
13,risk_plus_connectivity,2.0,2.0,ok,851,54,8.606144997858696,19.335589854964006
13,risk_plus_connectivity,2.0,4.0,ok,846,54,9.567949949955828,18.698861037854858
14,geometry_only,0.0,0.0,ok,684,54,5.365911761859927,29.4267906185258
14,risk_only,2.0,0.0,ok,567,54,3.03156010065189,31.871632667177106
14,risk_plus_connectivity,2.0,0.0,ok,567,54,3.03156010065189,31.871632667177106
14,risk_plus_connectivity,2.0,0.5,ok,840,54,4.228325210325303,17.575484128273292
14,risk_plus_connectivity,2.0,1.0,ok,879,54,4.2441124917998545,17.515790881525447
14,risk_plus_connectivity,2.0,2.0,ok,918,54,4.3884900927488735,17.252358579366632
14,risk_plus_connectivity,2.0,4.0,ok,935,54,5.56991189150791,16.600014340120772
15,geometry_only,0.0,0.0,ok,688,54,4.365722623028222,30.17005251539172
15,risk_only,2.0,0.0,ok,626,54,3.603564255544247,30.0979256641358
15,risk_plus_connectivity,2.0,0.0,ok,626,54,3.603564255544247,30.0979256641358
15,risk_plus_connectivity,2.0,0.5,ok,859,54,3.8520000897179787,28.141062214525743
15,risk_plus_connectivity,2.0,1.0,ok,873,54,5.503923540314699,23.80238145540054
15,risk_plus_connectivity,2.0,2.0,ok,884,54,8.318194136865802,19.329532930878088
15,risk_plus_connectivity,2.0,4.0,ok,898,54,10.218411355405857,18.164252275189625
16,geometry_only,0.0,0.0,ok,674,54,9.844741674789507,29.381130622111606
16,risk_only,2.0,0.0,ok,445,54,5.82215625730649,21.270203985604685
16,risk_plus_connectivity,2.0,0.0,ok,445,54,5.82215625730649,21.270203985604685
16,risk_plus_connectivity,2.0,0.5,ok,817,54,5.9164626218169785,20.477020156919828
16,risk_plus_connectivity,2.0,1.0,ok,874,54,6.637533973769037,18.84508173524257
16,risk_plus_connectivity,2.0,2.0,ok,875,54,7.064961441032581,18.193591026481105
16,risk_plus_connectivity,2.0,4.0,ok,884,54,10.128022584862663,16.25422448774932
17,geometry_only,0.0,0.0,ok,681,54,7.197749796778791,31.506100555035143
17,risk_only,2.0,0.0,ok,428,54,4.217963873843319,31.001110113016797
17,risk_plus_connectivity,2.0,0.0,ok,428,54,4.217963873843319,31.001110113016797
17,risk_plus_connectivity,2.0,0.5,ok,916,54,5.775768908575933,21.96633493736976
17,risk_plus_connectivity,2.0,1.0,ok,883,54,6.119939951408258,21.010387381948753
17,risk_plus_connectivity,2.0,2.0,ok,879,54,7.15689733743496,19.344963987879037
17,risk_plus_connectivity,2.0,4.0,ok,895,54,11.047226237900018,16.642478955234196
18,geometry_only,0.0,0.0,ok,672,54,3.454510187052559,30.621428160687373
18,risk_only,2.0,0.0,ok,791,54,3.454510187052559,30.621428160687373
18,risk_plus_connectivity,2.0,0.0,ok,791,54,3.454510187052559,30.621428160687373
18,risk_plus_connectivity,2.0,0.5,ok,850,54,4.59530051558369,21.990965554643232
18,risk_plus_connectivity,2.0,1.0,ok,885,54,5.691890203549087,19.749057814785765
18,risk_plus_connectivity,2.0,2.0,ok,946,54,5.82423415656873,19.55480278326735
18,risk_plus_connectivity,2.0,4.0,ok,981,54,6.039760085411775,19.394090948864278
19,geometry_only,0.0,0.0,ok,669,54,3.491909169438217,30.852751540786063
19,risk_only,2.0,0.0,ok,719,54,3.3680841512704727,30.969435205274454
19,risk_plus_connectivity,2.0,0.0,ok,719,54,3.3680841512704727,30.969435205274454
19,risk_plus_connectivity,2.0,0.5,ok,848,54,4.258527332829893,20.565822447939173
19,risk_plus_connectivity,2.0,1.0,ok,851,54,4.846883670027584,18.835635633322187
19,risk_plus_connectivity,2.0,2.0,ok,898,54,4.965965266732926,18.666029247921063
19,risk_plus_connectivity,2.0,4.0,ok,906,54,7.733472423767541,16.750019708422197
