cell_id,row,col,center_x,center_z,covered,uncertainty
435,14,1,-22.046348278625445,-18.832993293053043,0,0.8
436,14,2,-21.046348278625445,-18.832993293053043,1,0.2
437,14,3,-20.046348278625445,-18.832993293053043,1,0.2
438,14,4,-19.046348278625445,-18.832993293053043,1,0.2
439,14,5,-18.046348278625445,-18.832993293053043,1,0.2
440,14,6,-17.046348278625445,-18.832993293053043,1,0.2
441,14,7,-16.046348278625445,-18.832993293053043,1,0.2
442,14,8,-15.046348278625445,-18.832993293053043,0,0.8
443,14,9,-14.046348278625445,-18.832993293053043,0,0.8
444,14,10,-13.046348278625445,-18.832993293053043,0,0.8
445,14,11,-12.046348278625445,-18.832993293053043,0,0.8
446,14,12,-11.046348278625445,-18.832993293053043,0,0.8
447,14,13,-10.046348278625445,-18.832993293053043,0,0.8
448,14,14,-9.046348278625445,-18.832993293053043,0,0.8
449,14,15,-8.046348278625445,-18.832993293053043,0,0.8
450,14,16,-7.0463482786254446,-18.832993293053043,0,0.8
451,14,17,-6.0463482786254446,-18.832993293053043,0,0.8
452,14,18,-5.0463482786254446,-18.832993293053043,0,0.8
453,14,19,-4.0463482786254446,-18.832993293053043,0,0.8
454,14,20,-3.046348278625445,-18.832993293053043,0,0.8
455,14,21,-2.046348278625445,-18.832993293053043,0,0.8
456,14,22,-1.0463482786254446,-18.832993293053043,1,0.2
457,14,23,-0.0463482786254445,-18.832993293053043,1,0.2
458,14,24,0.9536517213745554,-18.832993293053043,1,0.2
459,14,25,1.9536517213745557,-18.832993293053043,0,0.8
460,14,26,2.9536517213745554,-18.832993293053043,0,0.8
461,14,27,3.953651721374555,-18.832993293053043,0,0.8
462,14,28,4.9536517213745554,-18.832993293053043,0,0.8
463,14,29,5.9536517213745554,-18.832993293053043,0,0.8
464,14,30,6.9536517213745554,-18.832993293053043,0,0.8
465,15,0,-23.046348278625445,-17.832993293053043,0,0.8
466,15,1,-22.046348278625445,-17.832993293053043,0,0.8
467,15,2,-21.046348278625445,-17.832993293053043,1,0.2
468,15,3,-20.046348278625445,-17.832993293053043,1,0.2
469,15,4,-19.046348278625445,-17.832993293053043,1,0.2
470,15,5,-18.046348278625445,-17.832993293053043,1,0.2
471,15,6,-17.046348278625445,-17.832993293053043,1,0.2
472,15,7,-16.046348278625445,-17.832993293053043,0,0.8
473,15,8,-15.046348278625445,-17.832993293053043,0,0.8
474,15,9,-14.046348278625445,-17.832993293053043,0,0.8
475,15,10,-13.046348278625445,-17.832993293053043,0,0.8
476,15,11,-12.046348278625445,-17.832993293053043,0,0.8
477,15,12,-11.046348278625445,-17.832993293053043,0,0.8
478,15,13,-10.046348278625445,-17.832993293053043,0,0.8
