seed,attack_level,mode,lambda0,T,attack_start,attack_end,mean_score,max_score,ok_plans,episode_success,total_cost,total_risk,max_risk_cell,expansions_sum,api_used,last_err,used_toy_fallback
8,0.0,lambda_shaping,1.0,20,6,15,0.020745846573403663,0.09320050176245719,20,1,3080.0,1280.7826539874077,0.9976388812065125,0,_adapter_plan_with_lambda,,0
8,0.4,baseline,1.0,20,6,15,0.194791760321469,0.4108701577950832,20,1,3080.0,1280.7826539874077,0.9976388812065125,0,_adapter_plan_with_lambda,,0
8,0.4,lambda_shaping,1.0,20,6,15,0.194791760321469,0.4108701577950832,20,1,3080.0,1280.7826539874077,0.9976388812065125,0,_adapter_plan_with_lambda,,0
8,0.7,baseline,1.0,20,6,15,0.32979176032146895,0.7108701577950831,20,1,3080.0,1280.7826539874077,0.9976388812065125,0,_adapter_plan_with_lambda,,0
8,0.7,lambda_shaping,1.0,20,6,15,0.32979176032146895,0.7108701577950831,20,1,3080.0,1280.7826539874077,0.9976388812065125,0,_adapter_plan_with_lambda,,0
8,0.9,baseline,1.0,20,6,15,0.41979176032146903,0.9108701577950832,20,1,3080.0,1280.7826539874077,0.9976388812065125,0,_adapter_plan_with_lambda,,0
8,0.9,lambda_shaping,1.0,20,6,15,0.41979176032146903,0.9108701577950832,20,1,3080.0,1280.7826539874077,0.9976388812065125,0,_adapter_plan_with_lambda,,0
9,0.0,baseline,1.0,20,6,15,0.035472101529433045,0.09709847396742796,20,1,3080.0,1305.0448542833328,0.9998713135719299,0,_adapter_plan_with_lambda,,0
9,0.0,lambda_shaping,1.0,20,6,15,0.035472101529433045,0.09709847396742796,20,1,3080.0,1305.0448542833328,0.9998713135719299,0,_adapter_plan_with_lambda,,0
9,0.4,baseline,1.0,20,6,15,0.21053478712181203,0.47029697145126176,20,1,3080.0,1305.0448542833328,0.9998713135719299,0,_adapter_plan_with_lambda,,0
9,0.4,lambda_shaping,1.0,20,6,15,0.21053478712181203,0.47029697145126176,20,1,3080.0,1305.0448542833328,0.9998713135719299,0,_adapter_plan_with_lambda,,0
9,0.7,baseline,1.0,20,6,15,0.34553478712181207,0.7702969714512616,20,1,3080.0,1305.0448542833328,0.9998713135719299,0,_adapter_plan_with_lambda,,0
9,0.7,lambda_shaping,1.0,20,6,15,0.34553478712181207,0.7702969714512616,20,1,3080.0,1305.0448542833328,0.9998713135719299,0,_adapter_plan_with_lambda,,0
9,0.9,baseline,1.0,20,6,15,0.43553478712181215,0.9702969714512617,20,1,3080.0,1305.0448542833328,0.9998713135719299,0,_adapter_plan_with_lambda,,0
9,0.9,lambda_shaping,1.0,20,6,15,0.43553478712181215,0.9702969714512617,20,1,3080.0,1305.0448542833328,0.9998713135719299,0,_adapter_plan_with_lambda,,0
